['2020-01-27', 'virus', 8]
['2020-01-27', 'hospital', 3]
['2020-01-27', 'medical', 3]
['2020-01-27', 'positive', 2]
['2020-01-27', 'public', 2]
['2020-01-27', 'measures', 3]
['2020-01-27', 'disease', 2]
['2020-01-27', 'chinese', 6]
['2020-01-27', 'global', 2]
['2020-01-27', 'markets', 2]
['2020-01-27', 'epidemic', 2]
['2020-01-28', 'where', 3]
['2020-01-28', 'wuhan', 3]
['2020-01-28', 'coronavirus', 8]
['2020-01-28', 'outbreak', 2]
['2020-01-28', 'people', 2]
['2020-01-28', 'three', 2]
['2020-01-28', 'china', 6]
['2020-01-28', 'infected', 2]
['2020-01-28', 'spread', 2]
['2020-01-28', 'health', 2]
['2020-01-28', 'officials', 2]
['2020-01-29', 'outbreak', 5]
['2020-01-29', 'virus', 13]
['2020-01-29', 'wuhan', 4]
['2020-01-29', 'spread', 4]
['2020-01-29', 'coronavirus', 15]
['2020-01-29', 'china', 5]
['2020-01-29', 'minister', 3]
['2020-01-29', 'positive', 2]
['2020-01-29', 'health', 6]
['2020-01-29', 'hospital', 3]
['2020-01-29', 'deadly', 3]
['2020-01-29', 'confirmed', 2]
['2020-01-29', 'people', 5]
['2020-01-29', 'government', 2]
['2020-01-29', 'ministry', 2]
['2020-01-29', 'cases', 4]
['2020-01-29', 'country', 2]
['2020-01-29', 'measures', 3]
['2020-01-29', 'being', 2]
['2020-01-29', 'international', 2]
['2020-01-29', 'disease', 2]
['2020-01-29', 'severe', 2]
['2020-01-29', 'global', 3]
['2020-01-30', 'number', 2]
['2020-01-30', 'cases', 7]
['2020-01-30', 'coronavirus', 9]
['2020-01-30', 'outbreak', 3]
['2020-01-30', 'people', 2]
['2020-01-30', 'virus', 5]
['2020-01-30', 'including', 4]
['2020-01-30', 'wuhan', 2]
['2020-01-30', 'confirmed', 3]
['2020-01-30', 'deaths', 3]
['2020-01-30', 'world', 2]
['2020-01-30', 'china', 3]
['2020-01-30', 'spread', 3]
['2020-01-30', 'novel', 5]
['2020-01-31', 'global', 2]
['2020-01-31', 'health', 5]
['2020-01-31', 'cases', 6]
['2020-01-31', 'spread', 3]
['2020-01-31', 'ministry', 4]
['2020-01-31', 'china', 6]
['2020-01-31', 'virus', 10]
